Engineer - GBS Engineering,"Job DetailsJob Summary
To support our extraordinary teams who build great products and contribute to our growth, were looking to add a Engineer  GBS Engineering in Pune.

What a typical day looks like:

Intense collaboration

Passionate customer focus

Thoughtful, fast, disciplined execution

Tenacious commitment to continuous improvement

Relentless drive to win

Efficiently managing ECOs for manufacturing sites across the globe

Use Agile (PLM) system for ECO (Engineering Change Order) creation, reviewing , routing, tracking, releasing and distribution

Work closely with Engineering and materials teams to review product updates / modifications

Creating setup like product Number, BOM Structure etc in AGILE & BAAN for new Products

Creating part numbers for BOM in agile & Baan

Creating AVL in agile & Baan system

Downloading customer documents like product specifications etc & releasing same in CDC

Work as a Change Analysts during NPI for new changes

Release Part list to production for new models & after implementation of ECO's

Perform Quarterly / Annual performance appraisals for the team members

Ensure adherence to targets set for all Process Metrics

Ensure timely generation and circulation of reports / dashboards

Mentor the team and guide them towards effective discharge of functions

Handle escalations if any, and escalate matters requiring the senior managements attention on a timely basis

Train new and existing team members on an ongoing basis on relevant tools or topics

Perform root cause analysis to expedite the resolution of service issues

Identify, recommend, and implement operational efficiencies to drive continuous improvement in the execution of procurement processes

Prepare Customized reports for analyzing and incorporating improvements in processes

The experience were looking to add to our team:

Basic understanding of quality tools and techniques, interface with customers on quality issue, improvement initiatives and audits

Manage Project from initiation through transfer, ensure timeline and documentation, direct team to resolve issues, develop status report

Work closely with the FE team and the customer/site to provide an efficient and comprehensive service; establish and maintain solid relationships.

Initiate continues Improvement technique to eliminate non value added activities, implement best practices in processes.

Active Coordinates in interviewing, hiring, terminations, promotions, performance review

Plan, design, and develop relevant training programs and evaluation technique based on renowned approach or methodology

Have a knowledge of IP, Copyrights, regulations, policies and procedures

Hand on experience with MS Office, basic understanding of RPA, Artificial Intelligence and Machine Learning, and ERP system

Demonstrates advanced functional, technical and people and/or process management skills as well as customer (external and internal) relationship skills.

Must have knowledge of relevant regulatory standards and applicable regulations

Excellent written and verbal communication skills

Effective team building and delegation skills

Good analytical and problem-solving skills

Must have good interpersonal and crucial conversation skills.

Typically requires a bachelors degree in a related field or equivalent experience and training.

Minimum 3-5 years of engineering experience.,Other Details DepartmentGeneral / Other SoftwareIndustry IT IT - Software EducationGraduation",
We are Hiring - Software Development Engineer,"Job DetailsAmazon has come a long way since opening on the World Wide Web in July 1995. Today, we operate retail websites in multiple countries across geographies, offering products in many categories (books, media, digital, electronics etc.) worldwide, and we still like to work hard, have fun and make history! The Amazon.com brand has become synonymous with a superior level of convenience, selection, low prices, and customer service.Software Development Engineers Worldwide Transportation Engineering @ Delhi, IndiaAmazon s global fulfillment network enables any merchant in any of the geography ship items that you order on Amazon, to any place on earth. There are a variety of ways in which we can acquire items from vendors to our warehouses, ship items from one location to another, and several intermediate locations through which the package travels before reaching the customer. There are millions of such packages, each with different attributes, and different delivery requirements. What results is a highly dense graph of source, intermediate and destination nodes, with arcs between them representing possible paths for packages, with different costs and times along each arc. Accounting for all these constraints, and maximizing the number of shipments shipped, while minimizing cost, providing a variety of delivery options and maximizing delivery performance is Transportation Engineering's primary focus.In 2006, Amazon started building Technology teams at Delhi to support the growth in the global fulfillment and transportation network. We have built a world class Software engineering team which is focused on solving some of the complex problems in worldwide Transportation using workflows, optimization algorithms, machine learning systems etc. These are large scale distributed systems handling millions of packages being shipped through our networkWe are looking for Software Development Engineers with solid Software engineering fundamentals involving solving complex problems. He/She will get to work on some of the key initiatives planned to support our rapid evolution and growth of the transportation network and in the process solve some of the most challenging problems. These engineers will grow to provide the technical leadership to the team, drive best practices, mentor other engineers and drive continuous improvements in engineering excellence., 
Bachelor or Master in computer science
Solid professional experience in software development
Advocate for solutions to technical challenges, articulating schedule/risk/quality trade-offs
Collaborate across disciplines for positive, productive teamwork
Demonstrated ability to go the extra mile to do things right and fast
Participate in design and architecture sessions with other senior technical leads
Produce quality, innovative, debuggable, testable and maintainable code
Learn new things, fail fast, and explore new coding territory


Programming experience in Java and frameworks such as JEE/Spring/Hibernate
Advanced SQL knowledge
Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations
Ability to learn new languages and technologies quickly
Experience in communicating with business teams, other development teams, and management to collect requirements, describe software product features, and technical designs
Knowledge of AWS/Cloud technologies
Other Details DepartmentWeb / Mobile TechnologiesSales / BDIndustry IT IT - Software EducationGraduation",
Recruit for the post of Software Senior Engineer,"Job DetailsJob Posting

Software Senior Engineer
ISG-CEE team is looking for a hands-on, passionate, results-oriented, inventive software engineer to work in ISG-CEE team. Candidates should understand software development, have excellent debugging and troubleshooting skills, be able to deliver quick fixes for, have excellent communication skill, and be eager to improve product quality and reliability.
The Software Engineering team delivers next-generation software application enhancements and new products for a changing world. Working at the cutting edge, we design and develop software for platforms, peripherals, applications, and diagnostics all with the most advanced technologies, tools, software engineering methodologies and the collaboration of internal and external partners.
Join us as a Software Senior Engineer on our ECS (Elastic Cloud Storage)/Objectscale Engineering team in Bengaluru to do the best work of your career and make a profound social impact.
What you ll achieve
As a Software Senior Engineer, you will join a high-performing team to build cutting-edge s3 compatible object storage products and solutions that will transform people s daily lives. You will work with core product development, product management, support, pre-sales teams to deliver top solutions for real-world requirements on ECS/ObjectScale products.
You will:

Be responsible for the design and development of high-quality code solutions.
Debug and resolved customer issues at the highest level, work with product component owners to resolve real-world issues, deliver code fixes as per the requirement.
Design and build configurable and scalable tools for debugging purpose.
Participate in on-call rotations to support the product outside of business hours

Take the first step towards your dream career
Every Dell Technologies team member brings something unique to the table. Here s what we are looking for with this role:
Essential Requirements 

Bachelor, master s degree in computer science or equivalent areas.
6-8 years of Java based enterprise software development experience.
Strong experience in Core Java,OOP,Spring, REST API and Design patterns.
Strong systems fundamentals in Distributed computing, large-scale software architecture and performance.
Proficient in Python Programming Language. Deep Knowledge in Linux/Unix Operating System (Networking, Log processing, Processes, Memory, Storage etc.)

Desirable Requirements 

Experience in working with large distributed systems, file system, storage system is a big plus.
Knowledge of container technology Kubernetes, Docker.

Here s our story; now tell us yours
Dell Technologies helps organizations and individuals build a brighter digital tomorrow. Our company is made up of more than 150,000 people, located in over 180 locations around the world. We re proud to be a diverse and inclusive team and have an endless passion for our mission to drive human progress.
What s most important to us is that you are respected, feel like you can be yourself and have the opportunity to do the best work of your life while still having a life. We offer excellent benefits, bonus programs, flexible work arrangements, a variety of career development opportunities, employee resource groups, and much more.
We started with computers, but we didn t stop there. We are helping customers move into the future with multi-cloud, AI and machine learning through the most innovative technology and services portfolio for the data era. Join us and become a part of what s next in technology, starting today.
You can also learn more about us by reading our latest Diversity and Inclusion Report and our plan to make the world a better place by 2030 here .
 
Other Details DepartmentEmbedded / System SoftwareGeneral / Other SoftwareIndustry IT IT - Software EducationGraduation""jobTitle",jobDescription
Python Developer,"Job Details                                                                                      Role:  Python Developer
Job Description: We are looking for a Python Web Developer responsible to build functional and efficientserver-side applications, managing the interchange of data between the server and the users.Your primary focus will be the development of all server-side logic, ensuring high performanceand responsiveness to requests from the front-end. You will also be responsible for integratingthe front-end elements built by your co-workers into the application
Key Responsibilities:
Help design and implement functional requirementsBuild efficient back-end features in PythonIntegrate front-end components into applicationsWriting reusable, testable, and efficient codeManage testing and bug fixesPrepare technical documentationCollaborate with UX/UI designers to implement design into the codeCoach junior team membersImplement software enhancements and suggest improvementsDeveloping digital tools to monitor online traffic
Requirements and skills:
3-5 years of Solid experience as Python DeveloperExperience with Python frameworks (e.g. Django, Flask, Bottle)Familiarity with Amazon Web Services (AWS) and REST APIUnderstanding of databases and SQL, MongoDBKnowledge of JavaScript and the react next's framework is a plus Familiarity with event-driven programming in PythonAble to create database schemes that represent and support business processes Proficient understanding of code versioning tools{{such-as Git,Mercurial-orSVN}}Knowledge of user authentication and authorization between multiple systems, servers,and environmentsKey Skills :  python Django MySQL MongoDB AWS git flask
Interested candidates Kindly share the resume:
Contact No. hidden_mobile
Email: hidden_emailOther Details DepartmentIT Operations / EDP / MISIndustry IT IT - Software",
Python AWS Developer,"Job DetailsResponsibilities:

Writing reusable, testable, and efficient code.
Design and implementation of low-latency, high-availability, and performant applications.
Integration of user-facing elements developed by front-end developers with server-side logic.
Implementation of security and data protection.
Highly customer focused, accountable, responsive, and collaborative.
Strong analytical and troubleshooting skills.

Eligibility:

Must have 5+ years of experience in Python, and AWS Lambda.
Experience with AWS cloud (ECS, EC2, VPC, ALB, S3, and other services).
Experience in any one of the high-level programming languages such as (python, Java, and C++).
Experience with containerization technologies like Docker, and Kubernetes is good.
Experience with CDK / Terraform and configuration management systems.
Experience with our technical stack (Python/Django) is a plus.

Locations: Bangalore, Pune, Hyderabad, Mumbai, Nagpur, and Delhi NCR (Currently work from home).Other Details DepartmentGeneral / Other SoftwareIndustry IT IT - Software",
Urgent | Hiring for Python Developer for one of US based client-Pune (WFH),"Job DetailsGreetings from Spirient Solutions !!
 
As we discussed please find the JD you have requested for. & the requirement for one of our client. So kindly check  below JD. & revert back to me.
Responsibilities:
- Build new products, services and add features to existing backend
- Build reusable code and libraries for future use
- Take complete end to end responsibility of a feature/module
- Optimize application for maximum speed and scalability
- Collaborate with other team members and stakeholders
Skills:
- 3+ years of engineering experience with a proven track record of building consumer services back-end
- You're experienced in building backend using RESTful APIs in Python using Flask or Django framework
- You're experienced in or willing to learn SQL & NoSQL Databases, Elasticsearch
& Time series databases.
- Ability to build & envision data model that suits product needs
- Work closely with front end developers
- Familiar with database architecture, scalability, performance and tuning.
- Systematic problem-solving approach, coupled with a strong sense of ownership and drive
- Experience with cloud infrastructure & services such as AWS (preferred), Google Cloud or MS Azure is a BIG plus.
- Must have used git/github
 
Qualifications :
- B.E./B Tech /M.E./ M Tech / MCA degree in Computer or Information Technology engineering.
 Location:Pune WFH
Notice Period: Immediate to max 1month
 Other Details DepartmentWeb / Mobile TechnologiesEmbedded / System SoftwareIndustry IT IT - Software EducationGraduation",
Python Developer,"Job DetailsPlease find the below mentioned JD:
Location - Bangalore
 
We would be needing experienced Python candidates at Consultant or AM designation level.
 
Please see below the requirement:

5 years of experience in designing and developing of Python and AWS Cloud based IoT/Analytics solution
Should have solid working knowledge in Python and related libraries
Experience in Micro-services architecture
Performing Serverless Software development using Amazon Lambda/ Azure Functions written in Python via REST or AWS SDK
Strong experience in designing and developing enterprise cloud-based IoT solutions using Amazon Cloud Computing Services (like Amazon EC2, S3, RDS IAM, SQS, SNS, VPC, EBS, AWS Route 53, Cloud Watch, Cloud etc.,,)
Familiarization of Containerized apps is added advantage
Familiar with AWS Glue and related tools/technologies
Experience in Amazon Cloud Watch monitoring
Understanding and experience in developing solutions using WebSockets
Proficient in RDS concepts including schema design, querying, performance tuning and debugging (preferably in PostgreSQL)
Well versed with various tools(Jira, Github etc.,)
Should have excellent problem-solving skills with good communication, logical and analytical skills
Preferable to candidates who are certified in AWS Cloud Developer Associate

 Other Details DepartmentApplication Programming / MaintenanceIndustry IT IT - Software",
Lead Data Engineer - Python,"Job DetailsData Engineers Python/ PySpark
 
 
 
Principal responsibilities
 

Requirement analysis, technical solution options
Design prototyping and PoC for each solution.
Build data engineering teams to build Group Platform
Fully accountable for reporting of progress, issues, dependencies, and risks of all technical topics to reporting manager
Work closely with the product manager(s) of Data Platform(s) to provide a holistic end to end solution for Data & Analytics teams.
Deep hands-on knowledge of various analytical tools like Python, PySpark, Scala and can build data pipeline independently
API and REST API knowledge would be added advantage
Excellent communication and interpersonal skills.
Excellent problem-solving skills.
Strong team player, and able to lead and mentor junior members

 Other Details DepartmentWeb / Mobile TechnologiesIndustry IT IT - Software",
Python Trainer and Developer,Job DetailsWe are looking for experienced python developer and trainer who has experience in python full stack along with django framework knowledge.Other Details DepartmentTechnical / Process TrainingIndustry IT IT - Software,
Lead Data Engineer - Python,"Job Details 
 


Principal responsibilities
 


 


Requirement analysis, technical solution options
 




Design proto typing and POC for each solution.
 




Build data engineering teams to build Group Platform
 




Fully accountable for reporting of progress, issues, dependencies ,and risks of all technical topics to reporting manager


 




Work closely with the product manager(s) of Data Platform(s) to provide a holistic end to end solution for Data & Analytics teams.
 


 




Deep hands-on knowledge of various analytical tools like Python, PySpark, Scala and can build data pipeline independently


 




API and RESTAPI knowledge would be added advantage.
 
Excellent communication and interpersonal skills.




 




Excellent problem-solving skills.
 




Strong team player, and able to lead and mentor junior members
 

Other Details DepartmentWeb / Mobile TechnologiesIndustry IT IT - Software",
apply now for the post of Senior Python Developer,"Job DetailsJob Description Python3 - From dev POV, so can help team write proper Python3 code using FastAPI (or other OpenAPI compliant) (not just scripts) and help in review. - From cloud proficiency level; how to connect and manipulate cloud resources using SDKs (aws-sdk, boto3, etc).
Working AWS Cloud knowledge - To work with AWS cloud resources and understand how things are setup. General understanding of DevOps, GitOps, DevSecOps, automation, pipelines, etc - Good to have this skillset. - Jenkins shared library/ GitHub Actions. - Various DevOps tools in various stages.
This position is for Pune location with Tavisca, a cxloyalty Technology Platform (Division of JP Morgan Chase & Co.),Other Details DepartmentWeb / Mobile TechnologiesIndustry IT Banking / Financial Services EducationGraduation",
Machine Learning Engineer _BANGALORE,"Job DetailsRequired Technical and Professional Expertise

6 to 8 Years of experience
ML OPS with Data science/ key words:- ML algorithum implementation, python, R programming , data structure, data modelling, software architechture
learning oriented programming languages/platforms and Data Visualization tools
Experience or understanding of end-to-end software tool/solution development and life cycle management
Prior experience of having worked in consulting/product/analytics environment.
Experience in Data Science/Analytics with demonstrated track of generating value through DS/ML/AI solutions.
Should have full understanding of applications of DS/ML/AI solutions to various business problems
Proficiency in using databases like Teradata, NoSQL and Hadoop using SQL, Hive, Spark.
Other Details DepartmentEngineering Design / ConstructionIndustry IT IT - Software EducationGraduation",
Senior Data Engineer,"Job Details
Must have experience in Bigdata and Snowflake
Must have worked on Snowflake data migration form on prem to cloud or from any other traditional dbs , Scalability, Data Storage Formats, concurrency requests, streaming data ingestion.
Ability to build quick Proof of concept as per the requirements.
Analysis on large amounts of historical data, determining suitability for Data Lake, Delta Lake setup, data clean-up, data management and filtering, loading into Snowflake.
Conducting experiments with different types of data models, analyzing performance, to identify the best ways to employ.
Expertise in Snowflake advanced concepts like setting up resource monitors, RBAC controls, virtual warehouse sizing, query performance tuning, zero copy clone, time travel and understand how to use these features.
Strong Proficiency in RDBMS, complex SQL, PL/SQL, Python, performance tuning
Expertise in Snowflake concepts like setting up resource monitors, RBAC controls, virtual warehouse sizing, query performance tuning, zero copy clone, time travel and understand how to use these features
Other Details DepartmentEmbedded / System SoftwareGeneral / Other SoftwareIndustry IT IT - Software""jobTitle",jobDescription
EM Strategist,"Job Detailsset up, maintain and build databases set up, maintain and build chart libraries  maintain, create, analyze and interpret macro and financial econometric models track macro-economic and financial data and their impact on global markets.  provide end to end support for publications work under the guidance of senior members of the team based out of different locations

Your team
You ll be working in Hyderabad, India, and collaborating with strategists in the Global Strategy team based in London, New York, Singapore, HK and Sydney. The team s purview is as broad as it can be in financial markets both global and across all asset classes. As such it represents one of the best learning opportunities available in finance.



, excellent Microsoft excel skills 2-3 years of work experience in econometrics/statistical analysis coding experience in Python preferred. Experience in R, Eviews or Matlab also counts.  academic background in quantitative finance/financial engineering preferred working knowledge of market data platforms e.g. Bloomberg, Datastream, Macrobond, Factset, Haver strong understanding of economics, market fundamentals and its driversYou have: excellent attention to detail willingness to collaborate and work in a team ability to take ownership of the projects flexible approach on working hours and work timings clear communication an interest in financial markets, particularly equities, currencies and bond marketsOther Details DepartmentGeneral / Other SoftwareManagement Consulting / StrategyIndustry IT Banking / Financial Services EducationGraduation",
It Trainee,"Job DetailsTraining Opportunity for IT/Non-IT Freshers:
About Company-Accoet India provides high quality IT & Non-IT training courses. To help you achieve better recognition in this competitive world.We provide Training,Development& Placement Program for IT & Non-IT Students. Courses Details:Java Fullstack DevelopmentLaravel Fullstack DevelopmentReact JsDigital MarketingPythonReact NativeAutoCad,Etc.Perks & Benefits:100% Placement Assurance(After Course Completion)Certificate with Project LetterWill Gain Experience with Live Projects.Interested students can contact me or send me your cv on hidden_mobileCourse Duration-3-6 months Contact- hidden_mobile Email Address- hidden_email Office Address-Accoet India,3rd Floor, Bhavani Complex,Near Metro Noida Sec-18 201304Other Details DepartmentGeneral / Other SoftwareIT Operations / EDP / MISIndustry IT IT - Software",
Urgent | who wants Training for software developer,"Job DetailsAccoet India Now offer to choose 100% Training & Placement drive with our reputed clients-(HCL, Genpact, Wipro, Motherson.Etc
Required Positions Java (Full Stack Developer) Python (Developer) Frontend Developer React developer
SEATS AVAILABLE 32TRAINING ENROLLMENT DATE 10 November to 15 NovemberTRAINING DURATION-90 Days
PROCESS TO ENROLL Online/Offline
HOW TO JOIN CONTACT TO OUR COUNSELLOR (hidden_mobile)
For more info whats app me on the same number 
Company Credibility Accoet provides high quality IT training courses. Training is an important step in advancing your career and attainingprofessional goals.So, To help you make your career ready with corporate requirements we will be nurturing you throughout.We are availablein physical as well as virtual mode. Our team is comprised of learning professional, subject matter and ITprofessionals.Launched in 2013, Accoet is a sub-brand of Spirale HR Solution Private Limited. At Accoet we provides wide rangeof IT training to boost up your career. Varieties include Fullstack, Frontend, Backend, Laravel, Java, React, Flutter,PHP, Networking, Digital Marketing, Web designing, Mobile Applications Development (IOS, Android) etc. To helpyou achieve better recognition in this competitive world.
At (Venue):
AccoetIndia
3rdFloor,Bhawani Complex,Noida Sector 18,Atta Market,
Pocket E,Sector 27,Noida(201304).
[Landmark:- Nearby Sector 18 Metro Station]
 
Thanks And Regard'sHR TeamAccoet IndiaOther Details DepartmentTechnical / Process TrainingIndustry IT IT - Software",
Research Analyst,"Job DetailsWe are seeking intellectual, adaptable and quick-learning analysts to collaborate with for data-based projects. The projects will involve generation, processing, testing, and analysis of data.
 
What type of data 

Qualitative (text) and quantitative (numeric)
Obtained from open source websites/ paid databases/ surveys/ financial statements
Related to consumers/ government/ companies/ in various sectors and departments
Structured and unstructured

 
What type of testing 

In most cases, you will be required to extract the data (from public/ private sources) or generate it from scratch
Process the data by treating the outliers, missing values, organising/ splitting/ combining and labeling variables, even out the observations, arranging them in the correct order.
You have to judge which test to apply- regression  sentiment analysis  CFA  frequency distribution 
Lastly, apply that test in a suitable application. We use Python, R, SPSS, STATA, and EViews. You're welcome to experiment with any other.

 
What type of analysis 

After running the test, draw from its findings- what do the figures mean  why  what are its implications for the concerned party 
If it involves predictive analysis, how should the party plan the next move  Suggest!
Write a report including summaries of text, figures and tables.
Compare primary and secondary data findings to arrive at a conclusion.

 
What skills must you have 
 

Data analysis in R/ Python/ SPSS/ Tableau/ SAS or similar
Impeccable English (spoken & written)
Critical thinking (the ability to question reality and think of possible outcomes)

 
What else do we need 
Apart from the skills, you must have:

Eagerness to learn new skills
Openness to newer types of projects
Curiosity to work in a fully remote environment
Willingness to experiment with data

 
Qualifications

Master's degree in Economics or Statistics
Expertise with any one software mentioned above
Previous quantitative and qualitative research experience
Other Details DepartmentStatistics / AnalyticsIndustry IT Education / Training",
Lead Software Engineer,"Job Details
Develops moderately complex code using both front and/or back end programming languages within multiple platforms as needed in collaboration with business and technology teams for internal and external client software solutions. Designs, creates, and delivers moderately complex program specifications for code development and support on multiple projects/issues with a wide understanding of the application / database to better align interactions and technologies.
Provides broad and in-depth knowledge of analysis, modification, and development of complex code/unit testing in order to develop concise application documentation. Performs and advises on testing, validation requirements, and corrective measures for complex code deficiencies and provides systemic proposals.
Participates in client facing meetings, joint venture discussions, vendor partnership teams to determine solution approaches.
Provides advise to leadership on the design, development and enforcement of business / infrastructure application standards to include associated controls, procedures and monitoring to ensure compliance and accuracy of data. Applies a full understanding and in-depth knowledge of procedures, methodology and application standards to include Payment Card Industry (PCI) security compliance.
Develops, administers and recommends billable hours and resource estimates on complex initiatives, projects, and issues.
Assists with on-the-job training and provides in-depth expertise and advice to software engineers.
What Are We Looking For in This Role 
Minimum Qualifications
BS in Computer Science, Information Technology, Business / Management Information Systems or related field
Typically minimum of 6 years - Professional Experience In Coding, Designing, Developing And Analyzing Data. Typically has an advanced knowledge and use of two or more opposing front / back end languages / technologies from the following but not limited to; two or more modern programming languages used in the enterprise, experience working with various APIs, external Services, experience with both relational and NoSQL Databases
Preferred Qualifications
BS in Computer Science, Information Technology, Business / Management Information Systems or related field
8+ years professional Experience In Coding, Designing, Developing And Analyzing Data and experience with IBM Rational Tools
What Are Our Desired Skills and Capabilities 
Skills / Knowledge - Having wide-ranging experience, uses professional concepts and company objectives to resolve complex issues in creative and effective ways. Some barriers to entry exist at this level (e.g., dept./peer review).
Job Complexity - Works on complex issues where analysis of situations or data requires an in-depth evaluation of variable factors. Exercises judgment in selecting methods, techniques and evaluation criteria for obtaining results. Networks with key contacts outside own area of expertise.
Supervision - Determines methods and procedures on new assignments and may coordinate activities of other personnel (Team Lead).
Operating Systems:

Linux distributions including one or more for the following: Ubuntu, CentOS/RHEL, Amazon Linux
Microsoft Windows
z/OS
Tandem/HP-Nonstop
Database - Design, familiarity with DDL and DML for one or more of the following databases Oracle, MySQL, MS SQL Server, IMS, DB2, Hadoop
Back-end technologies - Java, Python, .NET, Ruby, Mainframe COBOL, Mainframe Assembler
Front-end technologies - HTML, JavaScript, jQuery, CICS
Web Frameworks  Web technologies like Node.js, React.js, Angular, Redux
Development Tools - Eclipse, Visual Studio, Webpack, Babel, Gulp
Mobile Development  iOS, Android
Machine Learning  Python, R, Matlab, Tensorflow, DMTK,Other Details DepartmentGeneral / Other SoftwareIndustry IT Banking / Financial Services EducationGraduation",
Data Engineer (L 08),"Job DetailsWe are looking for a Data Engineer to be part of our Data & Analytics Agile teams and perform functional & system development for Abinitio applications across Enterprise Data initiatives. This is high visibility fast paced key initiative and will integrate data across internal and external sources, provide analytical insights and integrate with our critical systems. This individual will work with development teams utilizing modern software development methodologies and tools to provide best solution for Synchrony.

This position is remote, where you have the option to work from home. On occasion we may request for you to commute to our nearest office for in person engagement activities such as team meetings, training and culture events. To ensure the safety of our colleagues and communities, we require employees who come together in-person to be fully vaccinated. Were proud to offer you choice and flexibility.

Essential Responsibilities:

Participate in the agile development process
Govern design strategy, production promotion processes, software change control specifically related to Ab Initio as well as DW technology.
Participate in code review process
Work with team members to achieve business results in a fast paced and quickly changing environment
Ensure preparation and maintenance of appropriate technical documentation including but not limited to program design document, process flows and test plan.
Participate in addressing IRs/RCAs with Service Delivery team and provide direction in problem resolution
Perform other duties and/or projects as assigned
Qualifications/Requirements:

Bachelor's degree in a quantitative field (such as Engineering, Computer Science, Statistics, Econometrics) with a minimum of 2 years of experience; OR in lieu of a degree, 4 years of experience.
Good understanding of Database and Datawarehouse concepts
Hands-on exposure in the following Ab Initio tools: GDE  Graphical Development Environment; Co>Operating System
Hands-on experience in writing shell scripts, complex SQL queries
Ability to write abstracted, reusable code components
For Internal Applicants: Understand the criteria or mandatory skills required for the role, before applying.
Inform your Manager or HRM before applying for any role on Workday.
Ensure that your Professional Profile is updated (fields such as Education, Prior experience, Other skills) and it is mandatory to upload your updated resume (Word or PDF format)
Must not be any corrective action plan (First Formal/Final Formal, PIP)
Employees who have completed 18 months in the organization and 12 months in current role and level are only eligible
Existing Level 5, 6 & 7 are eligible to apply, will be considered for Level 8 if selected
Desired Characteristics:

Preferred exposure to the following Ab Initio tools: Control Center; Metadata Hub; Enterprise Meta>Environment; Enterprise Meta>Environment Portal; Acquire>It; Express>It; Conduct>It; Data Quality Environment; Query>It; Test Data Management.
Analytical mindset
Performance tuning experience
Experience in developing Hive, Sqoop, Spark, HBase on Hadoop
Familiar with Ab Intio, Hortonworks, Zookeeper, Oozie, and Kafka is a plus
Programming experience in at least one of the following languages: Scala, Java or Python
Willingness to learn new technologies quickly
Superior oral, and written communication skills, as well as the willingness to collaborate across teams of internal and external technical staff, business analysts, software support and operations staff.
Strong business acumen including a broad understanding of Synchrony Financial business processes and practices
Demonstrated ability to work effectively in a team environment
,Other Details DepartmentGeneral / Other SoftwareIndustry IT Banking / Financial Services EducationGraduation",
Python Backend Developer,"Job DetailsWe are looking for a Senior Python Developer 5 + Years of Experience for our esteemed client for Bangalore / Chennai Locations.
Roles and Responsibilities

To provide effective Designing, implementing, and maintaining Python applications.
Delivering high availability and performance
Contributing in all phases of the development lifecycle
Writing well-designed, efficient, and testable code using Python
Conducting software analysis, programming, testing, and debugging
Managing Web application development using Python
Ensuring designs comply with specifications
Transforming requirements Into stipulations
Work independently with very minimal supervision
Work closely with architects during all phases of the development lifecycle

 
Requirements
Qualification, Required skills

We are looking for candidates with a minimum of 5 years of Software Development
Mandatory - Excellent knowledge in Core Python, Python Coding, Python Frameworks
Experience in c is preferred
Experience in Web application development using Python
Knowledge on Python Based ERP Development is preferred
Bachelors in degree in B.E/B.Tech is consider

 
 Other Details DepartmentApplication Programming / MaintenanceIndustry IT IT - Software",
"Manager, Clinical Data Scientist, Clinical Data Sciences","Job DetailsAs a Manager, you provide guidance to operational teams for managing projects. Your planning skills will help in preparing forecasts for resource requirements, and providing areas of improvement for products, processes or services. Through your comprehensive knowledge of principles, concepts and theories of the discipline, you will also work towards advancing new concepts and methodologies. You will be able to take a leadership role to facilitate agreements between different teams.

It is your dedication and focus that will help make Pfizer ready to achieve new milestones and help patients across the globe.

How You Will Achieve It
Provide guidance, lead/co-lead projects, manage own time to meet objectives, plan resource requirements for projects across the division.
Ensure work carried out by providers is in accordance with applicable Standard Operating Procedures (SOPs) and working practices.
Promote the use of consistent, efficient, and quality processes to meet timelines and deliverables.
Serve as Clinical Data Scientist and Trial Lead for one or more clinical trials assuming responsibility for all Data Monitoring and Management (DMM) activities and interact with Clinical Data Scientist at study level for deliverables.
Serve as a technical resource to the study teams for data visualization and reporting tools and provide technical expertise and business process support in technology systems.
Ensure operational excellence in collaboration with partners for application of standards, data acquisition, proactive data review and data integrity and overall data management activities.
Partner with Research/Business Units and any external DM service provider to deliver high quality data management for all studies as assigned.
Perform central monitoring activities including review system outputs, propose suggestions for signal and action management, and follow up with study team for the action resolutions.
Plan and execute communication plans and methods for engaging customer populations.
Qualifications
Must-Have
Bachelor's Degree
5+ years experience
Experience within the pharmaceutical industry or in a health information management role
Working knowledge of all phases of clinical trials and ability to assess and determine study requirement from protocol review
Working knowledge of clinical research, Food and Drug Administration & International Conference on Harmonization Good Clinical Practices (GCDMP), and related regulatory requirements
Strong Project and Risk Management
Strong verbal and written communication skills, demonstrated ability to handle multiple tasks and projects
Knowledge of Windows Environment and its applications.
Nice-to-Have
Master's degree
Contract Research Organization {CRO} and vendor oversight experience
Proficient in using commercial clinical data management systems and/or EDC products,Other Details DepartmentGeneral / Other SoftwareIndustry IT Pharma / Biotech EducationGraduation",
